ID, Biển      , Trạng thái, Thời gian Vào      , Thời gian Ra       , Ảnh mặt                                                                                             , Ảnh biển
24, 35B2-54953, Ra        ,                    , 2026-01-16 11:41:20, C:\Users\phama\PycharmProjects\License-Plate-Recognition\result\face\face_20260116_114112_698926.jpg, C:\Users\phama\PycharmProjects\License-Plate-Recognition\result\plate\plate_20260116_114119_966325.jpg
23, 35B2-54953, Vào       , 2026-01-16 11:41:03,                    , C:\Users\phama\PycharmProjects\License-Plate-Recognition\result\face\face_20260116_114050_928691.jpg, C:\Users\phama\PycharmProjects\License-Plate-Recognition\result\plate\plate_20260116_114103_140292.jpg
